id,2024-11-26 10:52:56
2073678,Sölu lokið
2169176,Sölu lokið
2272786,Sölu lokið
2347893,Sölu lokið
2196256,Sölu lokið
2347892,Sölu lokið
2284343,Sölu lokið
2516207,Sölu lokið
2062569,Sölu lokið
2062570,Sölu lokið
2179102,Sölu lokið
2352189,Sölu lokið
2346898,Sölu lokið
2503299,Sölu lokið
2510690,Sölu lokið
2331259,Sölu lokið
MVE45,Sölu lokið
2183580,Sölu lokið
2071555,Sölu lokið
2119994,Sölu lokið
2282984,Sölu lokið
2282985,Sölu lokið
2152416,Sölu lokið
2152561,Sölu lokið
2153077,Sölu lokið
2364262,Sölu lokið
2094607,Sölu lokið
2332952,Sölu lokið
2270580,Sölu lokið
2021763,Sölu lokið
2020567,Sölu lokið
2010849,Sölu lokið
"EB1624, Caterpillar, gerð 323EL ",Lausafjáruppboð
"Haffi, RE-92, fnr. 5968 ",Lausafjáruppboð
Vörulagerar síulager og Vélavarahlutalager ýmsir varahlutir tengdum m.a. ökutækjum ,Lausafjáruppboð
IKJ74,Lausafjáruppboð
LJL89,Lausafjáruppboð
MYY46,Lausafjáruppboð
SK580,Lausafjáruppboð
RM946,Lausafjáruppboð
DMS16,Lausafjáruppboð
TOD56,Lausafjáruppboð
JRZ32,Lausafjáruppboð
TFB67,Lausafjáruppboð
GGN46,Lausafjáruppboð
PMR81,Lausafjáruppboð
AMX42,Lausafjáruppboð
FTD58,Lausafjáruppboð
BEG13,Lausafjáruppboð
NN918,Lausafjáruppboð
VTB59,Lausafjáruppboð
RA083,Lausafjáruppboð
YS767,Lausafjáruppboð
FVJ31,Lausafjáruppboð
REV89,Lausafjáruppboð
BZY33,Lausafjáruppboð
MKK37,Lausafjáruppboð
IHR49,Lausafjáruppboð
VKX19,Lausafjáruppboð
YBS71,Lausafjáruppboð
YUK51,Lausafjáruppboð
RLT72,Lausafjáruppboð
ERT34,Lausafjáruppboð
LGG76,Lausafjáruppboð
UYV05,Lausafjáruppboð
MDM65,Lausafjáruppboð
OE387,Lausafjáruppboð
NAH18,Lausafjáruppboð
BPZ93,Lausafjáruppboð
ZAY22,Lausafjáruppboð
NLG77,Lausafjáruppboð
OGZ89,Lausafjáruppboð
OZG51,Lausafjáruppboð
MUE98,Lausafjáruppboð
PE292,Lausafjáruppboð
OB701,Lausafjáruppboð
VSL25,Lausafjáruppboð
YS425,Lausafjáruppboð
GHE45,Lausafjáruppboð
VTU52,Lausafjáruppboð
DPV76,Lausafjáruppboð
UG298,Lausafjáruppboð
KKG51,Lausafjáruppboð
JMZ09,Lausafjáruppboð
PGP17,Lausafjáruppboð
GUN54,Lausafjáruppboð
HHS20,Lausafjáruppboð
OHP90,Lausafjáruppboð
YGP40,Lausafjáruppboð
ZGV76,Lausafjáruppboð
JGS71,Lausafjáruppboð
ALE08,Lausafjáruppboð
FAA25,Lausafjáruppboð
MZH59,Lausafjáruppboð
ZXH82,Lausafjáruppboð
UNE84,Lausafjáruppboð
VAB57,Lausafjáruppboð
SAE96,Lausafjáruppboð
AMY32,Lausafjáruppboð
TRS08,Lausafjáruppboð
PPY51,Lausafjáruppboð
RF203,Lausafjáruppboð
EHA57,Lausafjáruppboð
NO777,Lausafjáruppboð
EHP78,Lausafjáruppboð
RBE53,Lausafjáruppboð
VYM07,Lausafjáruppboð
NVV04,Lausafjáruppboð
JKD18,Lausafjáruppboð
HXH31,Lausafjáruppboð
DOD37,Lausafjáruppboð
ODK16,Lausafjáruppboð
TKJ81,Lausafjáruppboð
NDX96,Lausafjáruppboð
VKH18,Lausafjáruppboð
NTK65,Lausafjáruppboð
FVP81,Lausafjáruppboð
OJT81,Lausafjáruppboð
FHZ81,Lausafjáruppboð
GEP86,Lausafjáruppboð
DYT50,Lausafjáruppboð
PBB38,Lausafjáruppboð
HLX63,Lausafjáruppboð
LOL20,Lausafjáruppboð
ZKM35,Lausafjáruppboð
OP586,Lausafjáruppboð
UVN15,Lausafjáruppboð
MJY77,Lausafjáruppboð
NZ566,Lausafjáruppboð
GJT22,Lausafjáruppboð
KGP42,Lausafjáruppboð
NBZ86,Lausafjáruppboð
GYE51,Lausafjáruppboð
KLH92,Lausafjáruppboð
VSE75,Lausafjáruppboð
DXE33,Lausafjáruppboð
FBG18,Lausafjáruppboð
FBG31,Lausafjáruppboð
NRN66,Lausafjáruppboð
ZHE07,Lausafjáruppboð
OY991,Lausafjáruppboð
MFX65,Lausafjáruppboð
ORV33,Lausafjáruppboð
RJB83,Lausafjáruppboð
PGB86,Lausafjáruppboð
AY613,Lausafjáruppboð
BPR29,Lausafjáruppboð
2370147,Framhald uppboðs
2224523,Byrjun uppboðs
2096389,Byrjun uppboðs
2089030,Byrjun uppboðs
2512343,Byrjun uppboðs
2320531,Byrjun uppboðs
2183977,Byrjun uppboðs
